站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
C0F0B0,石岡,署屬自動站,311,120.777644,24.276061,臺中市,石岡區石岡街6號 (臺中市石岡區衛生所),2016-10-01,,,,
C0F0C0,中坑,署屬自動站,983,120.903319,24.248517,臺中市,和平區中坑里中坑段39地號內,2017-06-14,,,,
C0F0D0,審馬陣,署屬自動站,3171,121.4203,24.381675,臺中市,和平區南湖大山指標16.2K處(審馬陣山附近),2017-12-28,,,,
C0F0E0,南湖圈谷,署屬自動站,3557,121.444667,24.363714,臺中市,和平區南湖大山指標20K處(南湖主峰東峰岔路附近),2017-12-28,,,,
C0F850,東勢,署屬自動站,379,120.833047,24.246428,臺中市,東勢區東關路647號(東勢林區管理處雙崎工作站內),2011-11-01,,原(C1F850)站因擴充為氣象站，於2011/11/1升級為(C0F850)站。,C1F850,
C0F970,大坑,署屬自動站,145,120.722289,24.173142,臺中市,北屯區軍福十三路268號(東山消防分隊),2011-11-01,,原(C1F970)站因擴充為氣象站，於2011/11/1升級為(C0F970)站。,C1F970,
C0F9I0,神岡,署屬自動站,194,120.658314,24.272481,臺中市,神岡區三民路639號(圳堵國小校園南側大樓屋頂平台),2011-11-01,,本站原為雨量站(C1F9I0)，於2011/11/1擴充為氣象站，變更站碼為(C0F9I0)。於2025/02/05完成儀器汰換。,C1F9I0,
C0F9K0,大安,署屬自動站,30,120.588025,24.345061,臺中市,大安區中庄里中山南路296號(大安國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9L0,后里,署屬自動站,253,120.729725,24.310436,臺中市,后里區甲后路110號(后里國小),2011-11-01,,,,
C0F9M0,豐原,署屬自動站,230,120.720692,24.254322,臺中市,豐原區豐榮里12鄰新生北路155號(豐原國小),2011-11-01,,,,
C0F9N0,大里,署屬自動站,75,120.701378,24.092464,臺中市,大里區文化街120號(塗城國小),2011-11-01,,,,
C0F9O0,潭子,署屬自動站,175,120.703933,24.213106,臺中市,潭子區中山路二段435號(潭子國小),2011-11-01,,,,
C0F9P0,清水,署屬自動站,26,120.562242,24.312297,臺中市,清水區護岸路37號(高美國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9Q0,外埔,署屬自動站,149,120.705686,24.347817,臺中市,外埔區土城里土城西路55號(安定國小),2011-11-01,,,,
C0F9R0,龍井,署屬自動站,20,120.528972,24.184536,臺中市,龍井區西里龍門路51號(龍井國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9S0,烏日,署屬自動站,43,120.624103,24.107058,臺中市,烏日區中山路二段196號(烏日國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9T0,西屯,署屬自動站,111,120.641275,24.179494,臺中市,西屯區西屯路二段300號(西屯國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9U0,南屯,署屬自動站,74,120.637969,24.137006,臺中市,南屯區黎明路一段968號(南屯國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9V0,新社,署屬自動站,525,120.815806,24.200172,臺中市,新社區大南里興中街46號(農委會種苗改良繁殖場),2011-11-01,,,,
C0F9X0,大雅(中科園區),署屬自動站,166,120.62445,24.21528,臺中市,大雅區中部科學工業園區臺中園區(汙水處理機房樓頂),2015-08-21,,於2024/01/08完成儀器汰換,,
C0F9Y0,桃山,署屬自動站,3313,121.303808,24.432739,臺中市,和平區(位於往桃山山屋叉路解說牌附近),2016-07-15,,,,
C0F9Z0,雪山東峰,署屬自動站,3193,121.268675,24.388792,臺中市,和平區(位於雪山東峰直升機停機坪東南東方60公尺處),2016-07-15,,,,
C0FA10,松柏,署屬自動站,22,120.617482,24.429115,臺中市,大甲區順帆路233號(松柏安檢所樓頂),2022-03-09,,,,
C0FA20,溫寮,署屬自動站,26,120.583125,24.372177,臺中市,大安區中山北路1巷67號(臺中大安區里民活動中心樓頂),2022-03-09,,,,
C0FA30,梧棲,署屬自動站,31.73,120.523381,24.256003,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,2022-08-01,,本站站碼於2022/8/1由467770改為C0FA30。,467770,
C0FA40,臺中電廠,署屬自動站,25,120.4907,24.2146,臺中市,龍井區龍昌路1號,2022-12-26,,,,
C0FA50,霧峰,署屬自動站,58,120.6995,24.0419,臺中市,霧峰區新生路192號(921地震教育園區內),2023-03-10,,,,
C0FA60,鞍馬山工作站,署屬自動站,2137,121.000793,24.267064,臺中市,和平區鞍馬山段31地號,2025-04-25,,,,
C0FA70,大雪山埡口,署屬自動站,2591,121.03062,24.26867,臺中市,和平區小雪山段36地號,2025-04-25,,,,
C0FA80,小雪山天池,署屬自動站,2629,121.02627,24.28025,臺中市,和平區小雪山段3地號,2025-04-25,,,,
C0FA90,小雪山林道,署屬自動站,2940,121.03651,24.29515,臺中市,和平區小雪山段51地號,2025-04-25,,,,
C0FB00,大雪山,署屬自動站,2275,121.007374,24.254668,臺中市,和平區鞍馬山段4地號,2025-04-25,,,,
C0FB10,出雲山苗圃,署屬自動站,1034,120.90475,24.23105,臺中市,和平區橫流溪段41地號,2025-04-25,,,,
C0FB20,雪山橋,署屬自動站,2006,120.9786,24.23192,臺中市,和平區鞍馬山段111地號,2025-04-25,,,,
C0FB30,八仙山苗圃,署屬自動站,961,121.001366,24.192719,臺中市,和平區八仙山段32地號,2025-04-25,,,,
C0FB40,中橫21.6k,署屬自動站,1341,121.1455,24.2499,臺中市,和平區光明段12地號,2025-04-25,,,,
C0FB70,大甲溪埔,署屬自動站,41,120.620067,24.370625,臺中市,台中市大甲區東西七路一段(大甲飛龍團九天玄女會館入口旁),2025-02-05,,於2025/02/07變更站名。,,
